.js	.markdown
1	2
9	2
3	1
2	1
2	1
1	1
3	2
2	1
188	1
1	1
1	1
3	1
2	1
2	1
2	1
5	2
2	1
3	2
1	1
2	1
2	1
2	1
9	2
2	1
2	1
1	1
2	1
1	1
2	1
3	1
2	1
1	1
3	1
4	1
2	1
1	1
2	1
10	1
1	1
1	1
10	1
2	1
1	1
8	1
1	1
2	1
1	1
7	1
2	1
6	1
3	1
2	1
1	1
8	1
1	1
6	1
3	1
6	1
2	1
5	1
2	1
3	1
1	1
2	1
2	1
2	1
2	1
2	1
2	1
1	1
2	1
1	1
2	1
2	1
2	1
8	1
3	1
4	1
1	1
1	1
2	1
3	1
2	1
2	1
1	1
3	1
1	1
1	1
1	1
2	1
1	1
1	1
4	1
1	3
1	1
3	1
2	1
1	1
2	1
3	1
2	1
2	2
2	2
1	1
1	1
8	2
9	3
8	1
1	3
5	1
2	1
2	1
1	1
1	1
53	1
1	1
2	1
2	1
2	1
4	1
2	1
2	1
2	1
2	1
2	1
2	1
3	1
2	1
2	1
5	1
2	1
1	1
1	1
2	1
2	1
6	1
1	1
1	1
2	1
2	1
88	1
2	1
8	1
16	1
2	1
8	1
2	1
2	1
3	1
3	1
3	1
3	1
1	1
2	1
3	1
3	1
2	1
1	1
2	1
5	1
2	1
2	1
1	1
2	1
1	1
2	1
2	1
4	1
3	1
2	1
