bf3e0f417bb	09	10	10	0	3	0	0
f6556b678d9	10	16	14	2	2	0	0
f65a5cbcde5	22	10	8	2	2	0	0
849fcdeca05	12	16	15	1	2	0	0
15aa47e2618	09	8	7	1	1	0	0
8dc6be1747d	16	252	252	0	6	4	0
30bd7b672cb	16	179	178	1	4	2	0
bf3e0f417bb	09	10	10	0	3	0	0
f6556b678d9	10	16	14	2	2	0	0
f65a5cbcde5	22	10	8	2	2	0	0
849fcdeca05	12	16	15	1	2	0	0
15aa47e2618	09	8	7	1	1	0	0
8dc6be1747d	16	252	252	0	6	4	0
30bd7b672cb	16	179	178	1	4	2	0
82fca9136de	10	13	13	0	2	0	0
d0fc5538d1a	16	161	140	21	5	2	0
2c6b424829c	22	19	18	1	2	0	0
e108ff4da7c	14	12	11	1	2	0	0
103b89673ef	15	10	8	2	1	0	0
055f7e9da99	06	32	31	1	3	2	0
259d4496229	11	41	39	2	3	2	0
16a402c0b54	10	94	91	3	3	2	0
