04d6fc2c3fe	16	76	72	4	3	1	0
b96e38ac3a8	01	172	156	16	4	2	0
9452ea2ef5b	23	95	79	16	2	1	0
a7b14f7a89e	19	62	31	31	4	1	1
feac62d8d62	18	9	0	9	1	0	0
245469587c7	00	9	6	3	1	0	0
90c98910849	20	38	38	0	1	1	0
4cd522d1579	19	20	10	10	1	0	0
7f81ca2c47a	05	46	41	5	2	1	0
5106cadffba	05	61	60	1	2	1	0
5ac6f4de13b	05	86	60	26	2	0	0
1deeab29f27	16	8	4	4	1	0	0
93391ae9cb1	16	23	19	4	2	0	0
b02b93b2a22	20	6	4	2	1	0	0
04d6fc2c3fe	16	76	72	4	3	1	0
b96e38ac3a8	01	172	156	16	4	2	0
9452ea2ef5b	23	95	79	16	2	1	0
a7b14f7a89e	19	62	31	31	4	1	1
feac62d8d62	18	9	0	9	1	0	0
245469587c7	00	9	6	3	1	0	0
90c98910849	20	38	38	0	1	1	0
4cd522d1579	19	20	10	10	1	0	0
7f81ca2c47a	05	46	41	5	2	1	0
5106cadffba	05	61	60	1	2	1	0
5ac6f4de13b	05	86	60	26	2	0	0
