b9960eefc20	14	15	7	8	1	0	0
42a33c1bb86	12	21	19	2	2	0	0
ec57ecc982d	07	158	129	29	2	1	0
5b230007adb	05	26	6	20	1	0	0
028e652a733	20	9	8	1	1	0	0
60a1dbddd2a	22	70	67	3	3	1	0
bf0bc3565b2	19	7	4	3	1	0	0
8ac1a736353	19	2	1	1	1	0	0
e85927119cd	09	9	8	1	2	0	0
ab518ae50e4	18	9	7	2	1	0	0
06a058d731f	22	142	100	42	3	0	0
415bff26fe5	01	14	14	0	2	0	0
b9960eefc20	14	15	7	8	1	0	0
42a33c1bb86	12	21	19	2	2	0	0
ec57ecc982d	07	158	129	29	2	1	0
5b230007adb	05	26	6	20	1	0	0
028e652a733	20	9	8	1	1	0	0
60a1dbddd2a	22	70	67	3	3	1	0
bf0bc3565b2	19	7	4	3	1	0	0
8ac1a736353	19	2	1	1	1	0	0
e85927119cd	09	9	8	1	2	0	0
ab518ae50e4	18	9	7	2	1	0	0
06a058d731f	22	142	100	42	3	0	0
415bff26fe5	01	14	14	0	2	0	0
b9960eefc20	14	15	7	8	1	0	0
42a33c1bb86	12	21	19	2	2	0	0
ec57ecc982d	07	158	129	29	2	1	0
5b230007adb	05	26	6	20	1	0	0
028e652a733	20	9	8	1	1	0	0
60a1dbddd2a	22	70	67	3	3	1	0
bf0bc3565b2	19	7	4	3	1	0	0
8ac1a736353	19	2	1	1	1	0	0
e85927119cd	09	9	8	1	2	0	0
ab518ae50e4	18	9	7	2	1	0	0
06a058d731f	22	142	100	42	3	0	0
415bff26fe5	01	14	14	0	2	0	0
