.cc	.h
9	5
1	1
2	2
14	1
14	1
2	1
2	1
2	1
2	1
1	2
1	1
1	1
2	1
2	2
2	2
14	2
18	8
2	2
14	1
14	1
2	1
2	1
2	1
2	1
1	2
1	1
1	1
2	1
2	2
2	2
14	2
1	1
14	4
35	10
13	3
9	2
80	37
1	1
3	1
6	1
1	2
3	1
1	1
4	1
3	1
160	131
2	1
7	23
2	1
1	1
1	1
5	3
141	91
1	1
9	5
99	72
1	1
1	1
2	1
2	1
100	72
1	1
10	1
9	1
1	1
141	92
3	1
1	1
2	2
2	2
3	3
133	84
1	2
133	84
8	1
3	3
2	8
4	1
1	2
1	1
1	1
102	74
1	1
1	1
1	2
33	15
70	30
1	1
1	1
1	4
1	1
11	55
3	2
1	9
38	15
22	12
1	1
1	1
3	1
14	5
1	13
4	241
68	39
1	1
1	18
2	1
46	23
2	3
8	2
1	1
1	1
50	22
7	2
2	2
2	1
5	3
58	32
1	4
3	1
3	4
1	1
3	1
4	2
1	1
2	2
78	55
1	3
9	1
1	17
253	220
246	218
59	37
1	1
1	14
245	218
2	1
11	3
2	1
2	1
2	22
1	1
2	2
4	2
2	1
2	1
2	6
1	1
2	1
1	1
4	2
1	5
3	1
1	5
1	5
1	22
1	1
1	1
2	1
2	1
1	1
1	1
1	1
9	9
1	1
6	5
8	3
5	2
1	1
8	1
34	28
3	2
8	1
51	27
36	23
64	31
2	1
2	1
82	51
1	1
1	1
2	1
62	43
1	1
4	1
1	1
2	2
1	1
1	1
43	20
1	1
1	1
17	4
67	35
56	32
2	1
1	1
40	24
1	1
3	1
6	2
10	3
103	64
1	1
1	1
1	1
1	1
1	1
8	1
35	19
2	2
1	1
4	1
3	2
1	1
1	1
1	1
67	44
3	1
1	1
1	1
1	2
42	30
43	28
1	1
1	2
1	1
1	2
119	105
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	2
40	19
32	18
2	1
4	2
1	1
80	52
2	1
1	1
1	1
2	1
2	1
1	1
49	36
49	36
32	17
66	31
1	1
1	1
