1	1
1	1
2	1
2	1
1	1
2	1
1	1
1	1
1	1
1	1
2	2
5	1
1	1
4	1
2	1
2	1
2	1
2	1
5	3
2	1
1	1
1	1
1	1
2	2
2	2
1	2
1	3
2	1
1	3
1	4
1	6
1	1
1	1
143	384
1	1
6	1
3	1
2	2
2	1
1	1
1	1
3	1
2	2
2	1
1	1
2	1
1	1
2	2
1	1
132	44
2	1
2	1
1	2
2	1
4	1
2	3
2	1
3	1
1	1
5	1
2	2
1	1
1	2
1	1
1	4
1	4
2	1
1	2
1	2
1	1
1	1
2	3
1	2
1	1
1	2
1	1
2	3
3	1
1	2
1	2
1	1
1	5
124	42
1	13
1	1
1	2
1	2
1	1
2	1
1	1
51	15
1	4
1	1
1	1
3	2
1	1
4	10
2	6
2	1
2	9
4	2
53	21
5	14
1	1
1	5
3	1
1	1
1	1
1	3
56	39
1	2
1	1
1	1
4	1
59	15
1	1
22	2
1	1
1	1
1	2
10	3
1	7
45	10
1	5
3	4
2	2
2	2
27	1
7	13
3	8
1	1
1	1
1	1
53	6
1	1
1	1
1	1
3	1
46	10
1	6
2	2
1	6
2	1
1	1
30	2
2	7
22	10
1	1
1	18
1	2
1	1
1	1
1	4
58	14
5	1
1	2
2	1
1	4
55	29
1	2
69	13
29	2
1	53
1	2
1	2
1	4
1	4
2	2
1	1
107	27
1	1
1	1
14	1
1	1
50	13
1	3
1	2
2	2
53	12
53	12
1	1
3	1
2	1
2	1
2	1
2	1
1	2
1	2
1	1
1	2
1	2
54	12
1	2
1	1
1	2
1	3
1	1
1	1
1	1
3	1
54	20
2	1
1	1
3	1
5	1
1	1
1	1
1	1
1	1
94	32
1	1
1	1
2	2
1	1
2	15
1	14
1	1
96	37
1	2
1	1
1	1
1	1
18	6
1	3
1	1
1	1
1	4
92	31
1	1
1	4
48	14
2	5
5	1
1	1
1	1
2	5
1	2
1	1
2	21
33	10
1	1
1	1
1	19
1	2
1	7
1	2
40	5
1	1
1	2
88	15
22	1
7	3
7	3
1	1
1	2
1	3
1	3
1	1
8	3
1	1
1	2
1	2
2	5
1	1
1	1
1	2
1	1
1	1
76	24
1	1
1	1
54	16
5	2
24	9
25	7
42	21
1	5
50	7
1	1
1	4
1	3
1	1
98	19
1	1
32	6
43	5
2	2
1	2
1	1
45	8
33	3
1	2
17	3
1	8
31	4
1	2
1	1
1	2
42	5
27	9
1	2
1	1
1	4
1	4
22	17
39	17
55	7
1	3
21	5
37	3
1	2
1	2
11	3
1	1
1	3
29	8
1	1
1	3
1	1
6	1
1	2
26	6
31	16
31	16
62	26
1	2
1	1
96	19
1	2
1	1
1	1
1	2
1	2
1	1
1	1
1	1
1	1
30	11
2	3
1	1
1	1
1	4
1	3
42	8
42	8
1	1
1	2
1	1
1	1
78	16
1	1
1	2
1	1
1	4
1	1
1	2
34	14
1	1
40	3
1	1
66	4
1	1
32	9
1	1
49	6
1	1
1	1
1	1
49	6
1	1
2	2
1	1
1	1
1	1
1	1
1	3
1	1
2	2
1	3
80	8
4	8
32	2
1	2
40	3
1	1
1	2
1	3
119	110
1	1
1	1
1	1
1	2
43	14
42	12
67	29
35	7
1	2
1	1
1	1
1	2
1	1
1	1
1	1
1	1
1	2
1	1
1	1
103	33
40	1
1	1
1	1
2	3
56	5
67	6
17	6
1	1
43	12
1	1
1	2
62	14
2	3
1	1
1	1
82	53
64	15
1	1
36	5
51	11
34	318
8	2
5	1
8	2
1	3
1	1
9	1
1	1
1	3
1	6
1	3
1	1
1	1
1	1
1	2
1	1
1	2
1	1
1	1
1	2
1	1
1	1
1	4
1	4
11	10
1	2
245	218
59	16
246	227
253	229
78	19
1	1
3	2
58	13
1	2
2	1
1	5
1	2
1	1
50	19
1	1
1	1
46	13
1	1
68	19
1	1
1	1
14	11
1	1
22	4
38	9
70	97
1	2
33	1
1	1
1	3
102	20
1	1
1	4
1	1
1	2
1	1
4	1
1	1
1	1
2	4
133	41
1	1
133	41
3	7
2	4
2	4
1	8
1	1
1	3
141	49
1	3
9	1
1	6
1	1
1	1
1	2
100	46
9	1
141	51
2	2
160	106
80	14
9	2
35	5
1	1
14	1
2	1
1	1
1	1
2	2
18	1
2	1
1	1
1	1
2	2
9	3
1	1
23	5
111	5
