.js	11640
.cc	10596
.h	7779
.c	4111
.html	2849
.py	2087
.markdown	888
.1	476
.gyp	472
.3	389
.pod	363
.txt	339
.md	279
.vcproj	254
.status	213
.pem	203
.png	199
.json	199
.pl	176
.sh	151
.gypi	129
.bat	111
.gitignore	95
.cmake	82
.in	78
.mk	68
.m4	66
.css	65
.com	60
.out	49
.vsprops	43
.vcxproj	42
.pbxproj	34
.patch	33
.ac	33
.npmignore	33
.cpp	32
.rb	31
.cnf	30
.xml	26
.sln	23
.tar	22
.cmd	21
.am	20
.eps	20
.ec	18
.node	17
.t	16
.xsl	16
.srl	16
.yml	16
.win32	16
.wxs	16
.S	15
.reg2	13
.lnx	13
.pyt	13
.d	13
.lua	13
.rl	12
.hex	12
.jpg	12
.plist	12
.guess	11
.sub	11
.reg	11
.stdout	10
.opt	10
.gitmodules	10
.dsp	10
.msvc	9
.awk	9
.nt	8
.wixproj	8
.a	8
.mailmap	8
.ss	7
.orig	6
.LIB	6
.dsw	6
.rc	5
.chromium	5
.cares	5
.log	5
.txt"	4
.ini	4
.in1	4
.in0	4
.dot	4
.bmp	4
.embed	4
.rtf	4
.ev	4
.Watcom	4
.ico	4
.event	4
.golden	4
.crt	4
.s	3
.xclangspec	3
.strings	3
.settings	3
.spec	3
.pbfilespec	3
.hpp	3
.scm	3
.num	3
.expectation	3
.m	3
.SSLeay	2
.sha1	2
.ASN1	2
.diff	2
.WinCE	2
.W32	2
.m32	2
.ttf	2
.inc	2
.bsd	2
.WCE	2
.mm	2
.Borland	2
.gencc	2
.tests	2
.org	2
.w31	2
.mar	2
.doc	2
.dos	2
.CV	2
.netware	2
.NONPORTABLE	2
.lib	2
.default	2
.cvsignore	2
.ignore-unknown	2
.printvars	2
.key	2
.bin/marked	2
.gnu	2
.LGPL	2
.shared	2
.R	2
.separate-ic	2
.test	2
.bin	2
.VMS	2
.osf	2
.dj	2
.irx	2
.pdf	2
.hqx	2
.asm	1
.gcc	1
.bc	1
.W64	1
.w95	1
.sb	1
.pch	1
.cfg	1
.world	1
.LN3	1
.NW	1
.pm	1
.saves	1
.ln4	1
.hpux10-cc	1
.MacOS	1
.rnd	1
.TXT	1
.gitkeep	1
.proto	1
.egg-info/PKG-INFO	1
.valgrind	1
.ENGINE	1
.fre	1
.gif	1
.dif	1
.README	1
.NT2	1
.sol	1
.OS2	1
.doxy	1
.func-info	1
.xib	1
.ult	1
.gz	1
.aandMingw32?	1
.xs	1
.lis	1
.p7s	1
.p7m	1
.mul	1
.2	1
.p7c	1
.ext	1
.ntx	1
.gitattributes	1
.DJGPP	1
.RootCerts	1
.strongtalk	1
.el	1
.crl	1
.gost	1
.gc-state	1
.v8	1
