.js	7116
.cc	6206
.h	4352
.html	915
.c	913
.py	573
.markdown	462
.gyp	226
.vcproj	191
.txt	188
.md	186
.3	175
.1	132
.status	121
.pem	101
.json	78
.cmake	57
.sh	55
.gitignore	49
.m4	49
.in	48
.png	40
.out	28
.vsprops	27
.pbxproj	24
.ac	23
.mk	23
.vcxproj	23
.tar	22
.css	21
.gypi	21
.sln	15
.win32	15
.node	15
.pod	14
.reg2	13
.cnf	13
.am	12
.hex	12
.srl	12
.npmignore	12
.cmd	11
.reg	11
.d	10
.patch	9
.bat	9
.awk	9
.sub	8
.guess	8
.yml	8
.msvc	8
.stdout	8
.dsp	8
.pyt	7
.xml	7
.lua	7
.gitmodules	6
.jpg	6
.orig	6
.cares	5
.wxs	5
.plist	5
.txt"	4
.rb	4
.ini	4
.eps	4
.dsw	4
.in1	4
.in0	4
.ico	4
.log	4
.scm	3
.wixproj	3
.expectation	3
.golden	3
.rc	2
.dot	2
.netware	2
.rl	2
.bmp	2
.chromium	2
.diff	2
.printvars	2
.embed	2
.xsl	2
.m32	2
.ttf	2
.inc	2
.strings	2
.gnu	2
.a	2
.m	2
.R	2
.ev	2
.gencc	2
.cpp	2
.test	2
.Watcom	2
.dj	2
.event	2
.pdf	2
.mailmap	2
.asm	1
.func-info	1
.hpp	1
.xib	1
.pch	1
.cfg	1
.lib	1
.world	1
.cvsignore	1
.key	1
.ext	1
.mm	1
.saves	1
.LGPL	1
.S	1
.strongtalk	1
.gitkeep	1
.egg-info/PKG-INFO	1
.valgrind	1
.LIB	1
.crt	1
.v8	1
